LocationKey,Neigbourhood,AdministrativeRegion,Zone,Socioeconomic Status
1,Aeroporto,Continental / Goiabeiras (Zona Norte),North,Middle
2,Andorinhas,Maruípe,South,Low
3,Antônio Honório,Continental / Goiabeiras (Zona Norte),North,Middle
4,Ariovaldo Favalessa,Santo Antônio,South,Low
5,Barro Vermelho,Praia do Canto (Zona Leste),East,Middle
6,Bela Vista,Santo Antônio,South,Low
7,Bento Ferreira,Jucutuquara,South,Low
8,Boa Vista,Jardim da Penha,North,Middle
9,Bonfim,Maruípe,South,Low
10,Caratoíra,Santo Antônio,South,Low
11,Centro,Centro (Zona Sul),South,Low
12,Comdusa,São Pedro (Zona Oeste),West,Low
13,Conquista,São Pedro (Zona Oeste),West,Low
14,Consolação,Jucutuquara,South,Low
15,Cruzamento,Jucutuquara,South,Low
16,Da Penha,Maruípe,South,Low
17,De Lourdes,Jucutuquara,South,Low
18,Do Cabral,Santo Antônio,South,Low
19,Do Moscoso,Centro (Zona Sul),South,Low
20,Do Quadro,Santo Antônio,South,Low
21,Enseada Do Suá,Praia do Canto (Zona Leste),East,Middle
22,Estrelinha,Santo Antônio,South,Low
23,Fonte Grande,Centro (Zona Sul),South,Low
24,Forte São João,Jucutuquara,South,Low
25,Fradinhos,Jucutuquara,South,Low
26,Goiabeiras,Continental / Goiabeiras (Zona Norte),North,Middle
27,Grande Vitória,Santo Antônio,South,Low
28,Gurigica,Jucutuquara,South,Low
29,Horto,Jucutuquara,South,Low
30,Ilha Das Caieiras,São Pedro (Zona Oeste),West,Low
31,Ilha De Santa Maria,Jucutuquara,South,Low
32,Ilha Do Boi,Praia do Canto (Zona Leste),East,Middle
33,Ilha Do Frade,Praia do Canto (Zona Leste),East,Middle
34,Ilha Do Príncipe,Centro (Zona Sul),South,Low
35,Ilhas Oceânicas De Trindade,Military zone,Federal zone,Not Rated
36,Inhanguetá,Santo Antônio,South,Low
37,Itararé,Maruípe,South,Low
38,Jabour,Continental / Goiabeiras (Zona Norte),North,Middle
39,Jardim Camburi,Jardim Camburi,North,Middle
40,Jardim Da Penha,Jardim da Penha,North,Middle
41,Jesus De Nazareth,Jucutuquara,South,Low
42,Joana D´Arc,Maruípe,South,Low
43,Jucutuquara,Jucutuquara,South,Low
44,Maria Ortiz,Continental / Goiabeiras (Zona Norte),North,Middle
45,Mário Cypreste,Santo Antônio,South,Low
46,Maruípe,Maruípe,South,Low
47,Mata Da Praia,Jardim da Penha,North,Middle
48,Monte Belo,Jucutuquara,South,Low
49,Morada De Camburi,Jardim da Penha,North,Middle
50,Nazareth,Jucutuquara,South,Low
51,Nova Palestina,São Pedro (Zona Oeste),West,Low
52,Parque Industrial,Jardim Camburi,North,Middle
53,Parque Moscoso,Centro (Zona Sul),South,Low
54,Piedade,Centro (Zona Sul),South,Low
55,Pontal De Camburi,Jardim da Penha,North,Middle
56,Praia Do Canto,Praia do Canto (Zona Leste),East,Middle
57,Praia Do Suá,Praia do Canto (Zona Leste),East,Middle
58,Redenção,São Pedro (Zona Oeste),West,Low
59,República,Jardim da Penha,North,Middle
60,Resistência,São Pedro (Zona Oeste),West,Low
61,Romão,Jucutuquara,South,Low
62,Santa Cecília,Maruípe,South,Low
63,Santa Clara,Centro (Zona Sul),South,Low
64,Santa Helena,Praia do Canto (Zona Leste),East,Middle
65,Santa Lúcia,Praia do Canto (Zona Leste),East,Middle
66,Santa Luíza,Praia do Canto (Zona Leste),East,Middle
67,Santa Martha,Maruípe,South,Low
68,Santa Tereza,Santo Antônio,South,Low
69,Santo André,São Pedro (Zona Oeste),West,Low
70,Santo Antônio,Santo Antônio,South,Low
71,Santos Dumont,Maruípe,South,Low
72,Santos Reis,São Pedro (Zona Oeste),West,Low
73,São Benedito,Maruípe,South,Low
74,São Cristóvão,Maruípe,South,Low
75,São José,São Pedro (Zona Oeste),West,Low
76,São Pedro,São Pedro (Zona Oeste),West,Low
77,Segurança Do Lar,Continental / Goiabeiras (Zona Norte),North,Middle
78,Solon Borges,Continental / Goiabeiras (Zona Norte),North,Middle
79,Tabuazeiro,Maruípe,South,Low
80,Universitário,Santo Antônio,South,Low
81,Vila Rubim,Centro (Zona Sul),South,Low
